iter	MAE
0	2605499.998
1	2487049.996
2	2367524.995
3	2247582.805
4	2135057.869
5	2035568.609
6	1939295.271
7	1847086.51
8	1761834.283
9	1679415.039
10	1603494.597
11	1534060.842
12	1466810.406
13	1401004.461
14	1353991.101
15	1295923.992
16	1245221.459
17	1199592.04
18	1148448.298
19	1102707.763
20	1047814.32
21	1006247.811
22	975202.0317
23	937708.5192
24	907959.3843
25	866876.7874
26	843199.7381
27	810611.9952
28	773292.7514
29	742800.7748
30	716018.5118
31	688034.8104
32	664302.0304
33	640862.0357
34	616798.6929
35	595415.8576
36	572234.863
37	557905.1541
38	539604.6342
39	522136.7503
40	501447.5663
41	483546.8159
42	470689.7814
43	456719.5463
44	448793.2591
45	435045.042
46	418886.1757
47	404848.114
48	394875.9103
49	383130.9256
50	372649.5041
51	362472.2245
52	349426.9824
53	345312.7323
54	334473.2635
55	326406.4862
56	315090.0169
57	306368.0525
58	304230.7645
59	294673.2722
60	286452.4856
61	279197.4456
62	271633.1973
63	263091.9858
64	259093.6
65	252339.9813
66	245279.3499
67	237111.5018
68	233632.7002
69	227391.5072
70	222321.3231
71	214410.92
72	208236.506
73	202404.9669
74	197012.896
75	192211.8043
76	186768.1869
77	182972.9215
78	179180.8632
79	174970.0486
80	171086.3997
81	164580.9037
82	159626.938
83	153552.2646
84	149286.1501
85	147277.2369
86	142015.422
87	140507.5355
88	138472.7161
89	136159.5156
90	132804.3375
91	130628.874
92	128953.1873
93	125954.4
94	122265.0856
95	119526.9619
96	115818.323
97	113872.2703
98	110788.6488
99	107897.9558
100	104753.017
101	102622.0868
102	100524.5946
103	98628.82149
104	96936.39602
105	95435.06699
106	94957.69927
107	92551.46882
108	91059.23741
109	89671.0121
110	88048.61258
111	86011.05706
112	84209.78573
113	82144.46701
114	80240.99769
115	78628.07746
116	77747.93
117	75967.29721
118	74095.26745
119	72183.75212
120	70344.24835
121	68408.24215
122	67188.20945
123	65757.85947
124	64404.33919
125	63835.11511
126	63423.97736
127	62978.20998
128	62543.71166
129	62170.27124
130	61418.88628
131	61116.80036
132	60294.68756
133	59194.63558
134	58893.72647
135	58615.7284
136	58225.21099
137	57557.25179
138	57193.47527
139	56789.44724
140	56405.62058
141	56027.70103
142	55033.68505
143	54205.38788
144	53554.84203
145	52897.25183
146	52061.15189
147	51313.44724
148	51008.51703
149	50664.33011
150	50392.58905
151	49671.04039
152	48665.72266
153	48354.51681
154	47461.08473
155	46416.95243
156	46030.29747
157	45729.61883
158	45166.56129
159	44601.51507
160	44256.32584
161	43391.02331
162	43193.91269
163	42603.96318
164	42319.95449
165	42141.69733
166	41972.35304
167	41107.17294
168	40939.38811
169	40322.5793
170	39910.28876
171	39447.78145
172	39058.05142
173	38995.71531
174	38901.28076
175	38714.54503
176	38161.04379
177	38077.44249
178	37404.89203
179	37263.77618
180	37128.2372
181	36541.02585
182	35959.6466
183	35300.28282
184	35210.74547
185	34724.88587
186	34216.82153
187	33894.46911
188	33472.53246
189	33361.42957
190	33119.82216
191	32775.36166
192	32142.45146
193	31848.76349
194	31670.92677
195	31499.46943
196	31332.30592
197	31092.02394
198	30955.10196
199	30663.63382
200	30091.26184
201	29797.16558
202	29364.27892
203	29119.14173
204	28908.13933
205	28707.68704
206	28478.58941
207	28408.90185
208	28108.88486
209	27930.14939
210	27826.09852
211	27656.27791
212	27382.43711
213	26555.3601
214	26054.70019
215	25960.79086
216	25633.71764
217	25555.50523
218	25303.23318
219	24564.44527
220	24533.93528
221	24518.45461
222	24318.1401
223	24215.65776
224	23941.24481
225	23181.83084
226	23159.37336
227	23040.3267
228	23005.61534
229	22939.09731
230	22895.45374
231	22678.69295
232	22576.14925
233	22561.78551
234	22323.12015
235	22285.32212
236	22262.02942
237	22147.16986
238	22081.62301
239	22062.60509
240	21961.28515
241	21649.83539
242	21448.38957
243	21369.61189
244	20804.15929
245	20562.88298
246	20432.24014
247	20299.39416
248	20031.9713
249	20001.96148
250	19990.01081
251	19811.2857
252	19679.57797
253	19417.41684
254	19029.50267
255	18960.99906
256	18939.11374
257	18918.3227
258	18898.5712
259	18755.92151
260	18659.77517
261	18558.23854
262	18358.32453
263	18330.13743
264	18311.0505
265	18271.60513
266	18254.91108
267	18057.54947
268	18033.46007
269	17885.34955
270	17868.44413
271	17852.38399
272	17731.02286
273	17648.17761
274	17609.10325
275	17558.73658
276	17441.91527
277	17323.00358
278	17017.02302
279	16892.04661
280	16837.10817
281	16730.58836
282	16591.86398
283	16566.83098
284	16436.20319
285	16387.00613
286	16157.29989
287	15995.94129
288	15899.20015
289	15348.06748
290	15237.32751
291	15216.91533
292	15198.43904
293	15188.59552
294	15079.32392
295	14851.11968
296	14836.70973
297	14775.33645
298	14764.05281
299	14503.51661
