iter	Passed	Remaining
0	194	58093
1	239	35752
2	286	28400
3	340	25162
4	388	22912
5	431	21148
6	474	19866
7	519	18975
8	558	18067
9	599	17378
10	643	16917
11	688	16529
12	716	15819
13	758	15489
14	802	15243
15	851	15118
16	896	14927
17	936	14669
18	995	14718
19	1042	14596
20	1079	14344
21	1120	14163
22	1166	14050
23	1213	13957
24	1236	13603
25	1286	13562
26	1301	13163
27	1345	13068
28	1388	12976
29	1434	12914
30	1481	12854
31	1528	12797
32	1575	12750
33	1623	12703
34	1670	12649
35	1717	12595
36	1764	12538
37	1795	12380
38	1841	12324
39	1880	12225
40	1928	12183
41	1975	12138
42	2022	12085
43	2068	12034
44	2115	11987
45	2162	11943
46	2203	11859
47	2245	11786
48	2277	11666
49	2328	11643
50	2378	11615
51	2425	11565
52	2467	11497
53	2487	11333
54	2532	11281
55	2562	11165
56	2609	11123
57	2655	11077
58	2669	10903
59	2706	10826
60	2748	10769
61	2794	10727
62	2842	10694
63	2889	10655
64	2936	10618
65	2981	10569
66	3028	10532
67	3078	10502
68	3102	10385
69	3147	10340
70	3191	10293
71	3234	10243
72	3277	10192
73	3323	10150
74	3372	10116
75	3416	10070
76	3462	10028
77	3510	9990
78	3560	9960
79	3608	9923
80	3652	9875
81	3695	9823
82	3740	9778
83	3787	9739
84	3834	9698
85	3880	9655
86	3928	9618
87	3967	9558
88	4014	9517
89	4061	9476
90	4099	9416
91	4145	9371
92	4190	9326
93	4233	9278
94	4280	9236
95	4326	9194
96	4370	9146
97	4412	9094
98	4458	9051
99	4507	9015
100	4556	8977
101	4601	8932
102	4647	8888
103	4691	8841
104	4731	8787
105	4778	8744
106	4816	8688
107	4858	8637
108	4905	8596
109	4955	8558
110	5000	8514
111	5045	8469
112	5090	8424
113	5133	8375
114	5175	8325
115	5220	8281
116	5267	8238
117	5316	8199
118	5362	8155
119	5409	8114
120	5454	8068
121	5500	8025
122	5552	7989
123	5601	7950
124	5650	7910
125	5699	7870
126	5747	7828
127	5790	7781
128	5835	7735
129	5881	7691
130	5929	7650
131	5979	7610
132	6027	7568
133	6075	7526
134	6121	7482
135	6165	7434
136	6208	7386
137	6252	7339
138	6298	7295
139	6342	7248
140	6385	7200
141	6430	7155
142	6476	7110
143	6524	7067
144	6565	7018
145	6607	6969
146	6654	6926
147	6701	6883
148	6743	6834
149	6786	6786
150	6831	6740
151	6879	6698
152	6924	6653
153	6972	6610
154	7015	6563
155	7062	6519
156	7107	6473
157	7151	6427
158	7199	6384
159	7248	6342
160	7293	6296
161	7336	6249
162	7382	6205
163	7431	6162
164	7476	6117
165	7524	6073
166	7573	6031
167	7621	5988
168	7696	5966
169	7737	5916
170	7766	5859
171	7796	5802
172	7831	5749
173	7870	5699
174	7915	5653
175	7960	5608
176	8007	5564
177	8047	5515
178	8084	5465
179	8127	5418
180	8174	5374
181	8223	5331
182	8271	5288
183	8321	5246
184	8367	5201
185	8414	5157
186	8464	5114
187	8504	5066
188	8547	5020
189	8593	4975
190	8639	4930
191	8682	4883
192	8725	4837
193	8768	4790
194	8821	4750
195	8866	4704
196	8906	4656
197	8947	4609
198	8989	4562
199	9031	4515
200	9075	4470
201	9121	4425
202	9165	4379
203	9212	4335
204	9257	4289
205	9302	4244
206	9347	4199
207	9394	4155
208	9437	4109
209	9478	4062
210	9523	4017
211	9571	3972
212	9614	3927
213	9654	3879
214	9695	3833
215	9739	3787
216	9784	3742
217	9830	3697
218	9871	3650
219	9913	3604
220	9958	3559
221	9997	3512
222	10040	3466
223	10086	3422
224	10132	3377
225	10179	3332
226	10226	3288
227	10274	3244
228	10319	3199
229	10364	3154
230	10403	3107
231	10447	3062
232	10496	3018
233	10539	2972
234	10585	2927
235	10634	2883
236	10679	2838
237	10724	2793
238	10771	2749
239	10811	2702
240	10858	2658
241	10904	2613
242	10950	2568
243	10996	2523
244	11039	2478
245	11085	2433
246	11127	2387
247	11173	2342
248	11219	2297
249	11262	2252
250	11312	2208
251	11399	2171
252	11426	2122
253	11456	2074
254	11495	2028
255	11537	1983
256	11585	1938
257	11630	1893
258	11672	1847
259	11719	1802
260	11766	1758
261	11878	1722
262	11904	1674
263	11941	1628
264	11981	1582
265	12027	1537
266	12072	1492
267	12114	1446
268	12161	1401
269	12209	1356
270	12254	1311
271	12301	1266
272	12348	1221
273	12390	1175
274	12433	1130
275	12478	1085
276	12523	1039
277	12568	994
278	12615	949
279	12656	904
280	12696	858
281	12743	813
282	12792	768
283	12841	723
284	12882	678
285	12922	632
286	12966	587
287	13014	542
288	13061	497
289	13102	451
290	13138	406
291	13182	361
292	13230	316
293	13280	271
294	13328	225
295	13373	180
296	13418	135
297	13463	90
298	13507	45
299	13551	0
